long, lat, aurora
0,1,2
0,-90,9
0,-88,12
0,-87,14
0,-86,16
0,-85,17
0,-84,17
0,-83,17
0,-82,16
0,-81,14
0,-80,12
0,-79,11
0,-78,9
0,-77,7
0,-76,6
0,-75,5
0,-74,4
0,-73,3
0,-72,2
0,-71,2
0,-70,2
0,-69,1
0,-68,1
0,-67,1
0,-66,1
0,-65,1
0,-2,1
0,-1,3
0,0,5
0,66,1
0,67,1
0,68,1
0,69,2
0,70,3
0,71,4
0,72,5
0,73,6
0,74,6
0,75,6
0,76,6
0,77,5
0,78,4
0,79,2
0,80,2
0,81,1
1,-90,8
1,-88,12
1,-87,14
1,-86,16
1,-85,17
1,-84,17
1,-83,17
1,-82,16
1,-81,14
1,-80,12
1,-79,11
1,-78,9
1,-77,7
1,-76,6
1,-75,5
1,-74,4
1,-73,3
1,-72,2
1,-71,2
1,-70,2
1,-69,1
1,-68,1
1,-67,1
1,-66,1
1,-65,1
1,-2,1
1,-1,3
1,0,5
1,66,1
1,67,1
1,68,1
1,69,2
1,70,3
1,71,4
1,72,5
1,73,6
1,74,6
1,75,6
1,76,6
1,77,5
1,78,4
1,79,3
1,80,2
1,81,1
2,-90,8
2,-88,12
2,-87,14
2,-86,16
2,-85,17
2,-84,17
2,-83,17
2,-82,16
2,-81,14
2,-80,12
2,-79,11
2,-78,9
2,-77,7
2,-76,6
2,-75,5
2,-74,4
2,-73,3
2,-72,2
2,-71,2
2,-70,2
2,-69,1
2,-68,1
2,-67,1
2,-66,1
2,-65,1
2,-2,1
2,-1,3
2,0,5
2,66,1
2,67,1
2,68,1
2,69,2
2,70,3
2,71,4
2,72,5
2,73,5
2,74,6
2,75,6
2,76,6
2,77,5
2,78,4
2,79,3
2,80,2
2,81,1
3,-90,8
3,-88,12
3,-87,14
3,-86,16
3,-85,17
3,-84,17
3,-83,17
3,-82,16
3,-81,14
3,-80,12
3,-79,11
3,-78,9
3,-77,7
3,-76,6
3,-75,5
3,-74,4
3,-73,3
3,-72,2
3,-71,2
3,-70,2
3,-69,1
3,-68,1
3,-67,1
3,-66,1
3,-65,1
3,-2,1
3,-1,3
3,0,5
3,67,1
3,68,1
3,69,2
3,70,3
3,71,3
3,72,4
3,73,5
3,74,6
3,75,6
3,76,6
3,77,5
3,78,4
3,79,3
3,80,2
3,81,1
4,-90,8
4,-88,12
4,-87,14
4,-86,16
4,-85,17
4,-84,17
4,-83,17
4,-82,16
4,-81,14
4,-80,13
4,-79,11
4,-78,9
4,-77,7
4,-76,6
4,-75,5
4,-74,4
4,-73,3
4,-72,2
4,-71,2
4,-70,2
4,-69,1
4,-68,1
4,-67,1
4,-66,1
4,-65,1
4,-2,1
4,-1,3
4,0,5
4,67,1
4,68,1
4,69,2
4,70,3
4,71,3
4,72,4
4,73,5
4,74,6
4,75,6
4,76,6
4,77,5
4,78,4
4,79,3
4,80,2
4,81,1
5,-90,8
5,-88,11
5,-87,14
5,-86,16
5,-85,17
5,-84,17
5,-83,17
5,-82,16
5,-81,14
5,-80,13
5,-79,11
5,-78,9
5,-77,7
5,-76,6
5,-75,5
5,-74,4
5,-73,3
5,-72,2
5,-71,2
5,-70,2
5,-69,1
5,-68,1
5,-67,1
5,-66,1
5,-65,1
5,-2,1
5,-1,3
5,0,5
5,67,1
5,68,1
5,69,2
5,70,2
5,71,3
5,72,4
5,73,5
5,74,6
5,75,6
5,76,6
5,77,5
5,78,4
5,79,3
5,80,2
5,81,1
5,82,1
6,-90,8
6,-88,11
6,-87,14
6,-86,16
6,-85,17
6,-84,17
6,-83,17
6,-82,16
6,-81,14
6,-80,13
6,-79,11
6,-78,9
6,-77,7
6,-76,6
6,-75,5
6,-74,4
6,-73,3
6,-72,2
6,-71,2
6,-70,2
6,-69,1
6,-68,1
6,-67,1
6,-66,1
6,-65,1
6,-2,1
6,-1,3
6,0,5
6,67,1
6,68,1
6,69,2
6,70,2
6,71,3
6,72,4
6,73,5
6,74,6
6,75,6
6,76,6
6,77,5
6,78,4
6,79,3
6,80,2
6,81,1
6,82,1
7,-90,8
7,-88,11
7,-87,14
7,-86,16
7,-85,17
7,-84,17
7,-83,17
7,-82,16
7,-81,14
7,-80,13
7,-79,11
7,-78,9
7,-77,7
7,-76,6
7,-75,5
7,-74,4
7,-73,3
7,-72,2
7,-71,2
7,-70,2
7,-69,1
7,-68,1
7,-67,1
7,-66,1
7,-65,1
7,-2,1
7,-1,3
7,0,5
7,67,1
7,68,1
7,69,2
7,70,2
7,71,3
7,72,4
7,73,5
7,74,6
7,75,6
7,76,6
7,77,5
7,78,4
7,79,3
7,80,2
7,81,1
7,82,1
8,-90,8
8,-88,11
8,-87,14
8,-86,16
8,-85,17
8,-84,17
8,-83,17
8,-82,16
8,-81,14
8,-80,13
8,-79,11
8,-78,9
8,-77,8
8,-76,6
8,-75,5
8,-74,4
8,-73,3
8,-72,2
8,-71,2
8,-70,2
8,-69,1
8,-68,1
8,-67,1
8,-66,1
8,-65,1
8,-2,1
8,-1,3
8,0,5
8,67,1
8,68,1
8,69,2
8,70,2
8,71,3
8,72,4
8,73,5
8,74,6
8,75,6
8,76,6
8,77,5
8,78,4
8,79,3
8,80,2
8,81,1
8,82,1
9,-90,8
9,-88,11
9,-87,14
9,-86,15
9,-85,17
9,-84,17
9,-83,17
9,-82,16
9,-81,14
9,-80,13
9,-79,11
9,-78,9
9,-77,8
9,-76,6
9,-75,5
9,-74,4
9,-73,3
9,-72,2
9,-71,2
9,-70,2
9,-69,1
9,-68,1
9,-67,1
9,-66,1
9,-65,1
9,-2,1
9,-1,3
9,0,5
9,67,1
9,68,1
9,69,2
9,70,2
9,71,3
9,72,4
9,73,5
9,74,6
9,75,6
9,76,6
9,77,5
9,78,4
9,79,3
9,80,2
9,81,1
9,82,1
10,-90,8
10,-88,11
10,-87,14
10,-86,15
10,-85,16
10,-84,17
10,-83,17
10,-82,16
10,-81,14
10,-80,13
10,-79,11
10,-78,9
10,-77,8
10,-76,6
10,-75,5
10,-74,4
10,-73,3
10,-72,2
10,-71,2
10,-70,2
10,-69,1
10,-68,1
10,-67,1
10,-66,1
10,-65,1
10,-2,1
10,-1,3
10,0,5
10,67,1
10,68,1
10,69,2
10,70,2
10,71,3
10,72,4
10,73,5
10,74,6
10,75,6
10,76,6
10,77,6
10,78,5
10,79,3
10,80,2
10,81,1
10,82,1
11,-90,8
11,-88,11
11,-87,14
11,-86,15
11,-85,16
11,-84,17
11,-83,17
11,-82,16
11,-81,14
11,-80,13
11,-79,11
11,-78,9
11,-77,8
11,-76,6
11,-75,5
11,-74,4
11,-73,3
11,-72,2
11,-71,2
11,-70,2
11,-69,1
11,-68,1
11,-67,1
11,-66,1
11,-65,1
11,-2,1
11,-1,3
11,0,5
11,67,1
11,68,1
11,69,2
11,70,2
11,71,3
11,72,4
11,73,5
11,74,6
11,75,6
11,76,6
11,77,6
11,78,5
11,79,3
11,80,2
11,81,1
11,82,1
12,-90,8
12,-88,11
12,-87,14
12,-86,15
12,-85,16
12,-84,17
12,-83,17
12,-82,16
12,-81,15
12,-80,13
12,-79,11
12,-78,9
12,-77,8
12,-76,6
12,-75,5
12,-74,4
12,-73,3
12,-72,2
12,-71,2
12,-70,2
12,-69,1
12,-68,1
12,-67,1
12,-66,1
12,-65,1
12,-2,1
12,-1,3
12,0,5
12,67,1
12,68,1
12,69,2
12,70,2
12,71,3
12,72,4
12,73,5
12,74,6
12,75,6
12,76,6
12,77,6
12,78,5
12,79,4
12,80,2
12,81,1
12,82,1
13,-90,8
13,-88,11
13,-87,13
13,-86,15
13,-85,16
13,-84,17
13,-83,17
13,-82,16
13,-81,15
13,-80,13
13,-79,11
13,-77,8
13,-76,6
13,-75,5
13,-74,4
13,-73,3
13,-72,3
13,-71,2
13,-70,2
13,-69,1
13,-68,1
13,-67,1
13,-66,1
13,-65,1
13,-2,1
13,-1,3
13,0,5
13,67,1
13,68,1
13,69,2
13,70,2
13,71,3
13,72,4
13,73,5
13,74,6
13,75,6
13,76,6
13,77,6
13,78,5
13,79,4
13,80,2
13,81,1
13,82,1
14,-90,8
14,-88,11
14,-87,13
14,-86,15
14,-85,16
14,-84,17
14,-83,16
14,-82,16
14,-81,15
14,-80,13
14,-79,11
14,-77,8
14,-76,6
14,-75,5
14,-74,4
14,-73,3
14,-72,3
14,-71,2
14,-70,2
14,-69,1
14,-68,1
14,-67,1
14,-66,1
14,-65,1
14,-2,1
14,-1,3
14,0,5
14,67,1
14,68,1
14,69,2
14,70,2
14,71,3
14,72,4
14,73,5
14,74,6
14,75,7
14,76,7
14,77,6
14,78,5
14,79,4
14,80,2
14,81,2
14,82,1
15,-90,8
15,-88,11
15,-87,13
15,-86,15
15,-85,16
15,-84,17
15,-83,16
15,-82,16
15,-81,15
15,-80,13
15,-79,11
15,-77,8
15,-76,6
15,-75,5
15,-74,4
15,-73,3
15,-72,3
15,-71,2
15,-70,2
15,-69,1
15,-68,1
15,-67,1
15,-66,1
15,-65,1
15,-2,1
15,-1,3
15,0,5
15,67,1
15,68,1
15,69,2
15,70,2
15,71,3
15,72,4
15,73,5
15,74,6
15,75,7
15,76,7
15,77,6
15,78,5
15,79,4
15,80,3
15,81,2
15,82,1
16,-90,8
16,-88,11
16,-87,13
16,-86,15
16,-85,16
16,-84,17
16,-83,16
16,-82,16
16,-81,15
16,-80,13
16,-79,11
16,-77,8
16,-76,7
16,-75,5
16,-74,4
16,-73,3
16,-72,3
16,-71,2
16,-70,2
16,-69,1
16,-68,1
16,-67,1
16,-66,1
16,-65,1
16,-2,1
16,-1,3
16,0,5
16,67,1
16,68,1
16,69,2
16,70,2
16,71,3
16,72,4
16,73,5
16,74,6
16,75,7
16,76,7
16,77,6
16,78,5
16,79,4
16,80,3
16,81,2
16,82,1
17,-90,8
17,-88,11
17,-87,13
17,-86,15
17,-85,16
17,-84,17
17,-83,16
17,-82,16
17,-81,15
17,-80,13
17,-79,12
17,-77,8
17,-76,7
17,-75,5
17,-74,4
17,-73,3
17,-72,3
17,-71,2
17,-70,2
17,-69,1
17,-68,1
17,-67,1
17,-66,1
17,-65,1
17,-2,1
17,-1,2
17,0,5
17,67,1
17,68,1
17,69,2
17,70,2
17,71,3
17,72,4
17,73,5
17,74,6
17,75,7
17,76,7
17,77,6
17,78,5
17,79,4
17,80,3
17,81,2
17,82,1
18,-90,8
18,-88,11
18,-87,13
18,-86,15
18,-85,16
18,-84,16
18,-83,16
18,-82,16
18,-81,15
18,-80,13
18,-79,12
18,-77,8
18,-76,7
18,-75,5
18,-74,4
18,-73,3
18,-72,3
18,-71,2
18,-70,2
18,-69,1
18,-68,1
18,-67,1
18,-66,1
18,-65,1
18,-2,1
18,-1,2
18,0,5
18,67,1
18,68,1
18,69,2
18,70,2
18,71,3
18,72,4
18,73,5
18,74,6
18,75,7
18,76,7
18,77,6
18,78,5
18,79,4
18,80,3
18,81,2
18,82,1
19,-90,8
19,-88,11
19,-87,13
19,-86,15
19,-85,16
19,-84,16
19,-83,16
19,-82,16
19,-81,15
19,-80,13
19,-79,12
19,-77,8
19,-76,7
19,-75,5
19,-74,4
19,-73,3
19,-72,3
19,-71,2
19,-70,2
19,-69,1
19,-68,1
19,-67,1
19,-66,1
19,-65,1
19,-2,1
19,-1,2
19,0,5
19,67,1
19,68,1
19,69,2
19,70,2
19,71,3
19,72,4
19,73,5
19,74,6
19,75,7
19,76,7
19,77,6
19,78,5
19,79,4
19,80,3
19,81,2
19,82,1
20,-90,8
20,-88,11
20,-87,13
20,-86,15
20,-85,16
20,-84,16
20,-83,16
20,-82,16
20,-81,15
20,-80,13
20,-79,12
20,-77,8
20,-76,7
20,-75,6
20,-74,4
20,-73,3
20,-72,3
20,-71,2
20,-70,2
20,-69,1
20,-68,1
20,-67,1
20,-66,1
20,-65,1
20,-2,1
20,-1,2
20,0,5
20,67,1
20,68,1
20,69,2
20,70,2
20,71,3
20,72,4
20,73,5
20,74,6
20,75,7
20,76,7
20,77,7
20,78,6
20,79,4
20,80,3
20,81,2
20,82,1
21,-90,8
21,-88,11
21,-87,13
21,-86,15
21,-85,16
21,-84,16
21,-83,16
21,-82,16
21,-81,15
21,-80,13
21,-79,12
21,-77,8
21,-76,7
21,-75,6
21,-74,4
21,-73,3
21,-72,3
21,-71,2
21,-70,2
21,-69,1
21,-68,1
21,-67,1
21,-66,1
21,-65,1
21,-2,1
21,-1,2
21,0,5
21,67,1
21,68,1
